temp_c,pressure_bar,a_micro_per_bar_estimated,b_micro_per_c,a_source_kind,b_source_kind
2.0,30.0,49.172955,-70.4,estimated_from_fig1_chart,exact_from_table1_text
2.0,40.0,49.090833,-67.12,estimated_from_fig1_chart,exact_from_table1_text
2.0,50.0,48.992287,-63.84,estimated_from_fig1_chart,exact_from_table1_text
2.0,60.0,48.910165,-60.55,estimated_from_fig1_chart,exact_from_table1_text
2.0,70.0,48.811619,-57.25,estimated_from_fig1_chart,exact_from_table1_text
2.0,80.0,48.729497,-53.96,estimated_from_fig1_chart,exact_from_table1_text
2.0,90.0,48.630951,-50.66,estimated_from_fig1_chart,exact_from_table1_text
2.0,100.0,48.548829,-47.35,estimated_from_fig1_chart,exact_from_table1_text
2.0,110.0,48.450283,-44.05,estimated_from_fig1_chart,exact_from_table1_text
2.0,120.0,48.368161,-40.74,estimated_from_fig1_chart,exact_from_table1_text
4.0,30.0,48.565253,-35.63,estimated_from_fig1_chart,exact_from_table1_text
4.0,40.0,48.483131,-32.62,estimated_from_fig1_chart,exact_from_table1_text
4.0,50.0,48.401009,-29.6,estimated_from_fig1_chart,exact_from_table1_text
4.0,60.0,48.302463,-26.58,estimated_from_fig1_chart,exact_from_table1_text
4.0,70.0,48.220341,-23.54,estimated_from_fig1_chart,exact_from_table1_text
4.0,80.0,48.13822,-20.51,estimated_from_fig1_chart,exact_from_table1_text
4.0,90.0,48.056098,-17.47,estimated_from_fig1_chart,exact_from_table1_text
4.0,100.0,47.957552,-14.43,estimated_from_fig1_chart,exact_from_table1_text
4.0,110.0,47.87543,-11.38,estimated_from_fig1_chart,exact_from_table1_text
4.0,120.0,47.793308,-8.34,estimated_from_fig1_chart,exact_from_table1_text
6.0,30.0,48.006825,-3.16,estimated_from_fig1_chart,exact_from_table1_text
6.0,40.0,47.924703,-0.41,estimated_from_fig1_chart,exact_from_table1_text
6.0,50.0,47.842581,2.36,estimated_from_fig1_chart,exact_from_table1_text
6.0,60.0,47.760459,5.15,estimated_from_fig1_chart,exact_from_table1_text
6.0,70.0,47.678337,7.92,estimated_from_fig1_chart,exact_from_table1_text
6.0,80.0,47.596215,10.7,estimated_from_fig1_chart,exact_from_table1_text
6.0,90.0,47.514094,13.5,estimated_from_fig1_chart,exact_from_table1_text
6.0,100.0,47.415547,16.29,estimated_from_fig1_chart,exact_from_table1_text
6.0,110.0,47.333426,19.08,estimated_from_fig1_chart,exact_from_table1_text
6.0,120.0,47.251304,21.88,estimated_from_fig1_chart,exact_from_table1_text
8.0,30.0,47.431972,27.26,estimated_from_fig1_chart,exact_from_table1_text
8.0,40.0,47.34985,29.78,estimated_from_fig1_chart,exact_from_table1_text
8.0,50.0,47.267728,32.31,estimated_from_fig1_chart,exact_from_table1_text
8.0,60.0,47.185606,34.85,estimated_from_fig1_chart,exact_from_table1_text
8.0,70.0,47.103484,37.39,estimated_from_fig1_chart,exact_from_table1_text
8.0,80.0,47.021363,39.94,estimated_from_fig1_chart,exact_from_table1_text
8.0,90.0,46.955665,42.5,estimated_from_fig1_chart,exact_from_table1_text
8.0,100.0,46.857119,45.05,estimated_from_fig1_chart,exact_from_table1_text
8.0,110.0,46.774997,47.61,estimated_from_fig1_chart,exact_from_table1_text
8.0,120.0,46.692875,50.18,estimated_from_fig1_chart,exact_from_table1_text
10.0,30.0,47.004938,55.84,estimated_from_fig1_chart,exact_from_table1_text
10.0,40.0,46.906392,58.14,estimated_from_fig1_chart,exact_from_table1_text
10.0,50.0,46.82427,60.45,estimated_from_fig1_chart,exact_from_table1_text
10.0,60.0,46.742148,62.76,estimated_from_fig1_chart,exact_from_table1_text
10.0,70.0,46.660027,65.08,estimated_from_fig1_chart,exact_from_table1_text
10.0,80.0,46.577905,67.4,estimated_from_fig1_chart,exact_from_table1_text
10.0,90.0,46.495783,69.73,estimated_from_fig1_chart,exact_from_table1_text
10.0,100.0,46.413661,72.07,estimated_from_fig1_chart,exact_from_table1_text
10.0,110.0,46.331539,74.41,estimated_from_fig1_chart,exact_from_table1_text
10.0,120.0,46.249417,76.74,estimated_from_fig1_chart,exact_from_table1_text
12.0,30.0,46.643602,82.79,estimated_from_fig1_chart,exact_from_table1_text
12.0,40.0,46.545056,84.87,estimated_from_fig1_chart,exact_from_table1_text
12.0,50.0,46.462934,86.96,estimated_from_fig1_chart,exact_from_table1_text
12.0,60.0,46.364388,89.07,estimated_from_fig1_chart,exact_from_table1_text
12.0,70.0,46.282266,91.17,estimated_from_fig1_chart,exact_from_table1_text
12.0,80.0,46.200144,93.29,estimated_from_fig1_chart,exact_from_table1_text
12.0,90.0,46.101598,95.41,estimated_from_fig1_chart,exact_from_table1_text
12.0,100.0,46.019476,97.53,estimated_from_fig1_chart,exact_from_table1_text
12.0,110.0,45.92093,99.66,estimated_from_fig1_chart,exact_from_table1_text
12.0,120.0,45.838808,101.79,estimated_from_fig1_chart,exact_from_table1_text
14.0,30.0,46.18372,108.26,estimated_from_fig1_chart,exact_from_table1_text
14.0,40.0,46.101598,110.14,estimated_from_fig1_chart,exact_from_table1_text
14.0,50.0,46.003052,112.04,estimated_from_fig1_chart,exact_from_table1_text
14.0,60.0,45.92093,113.93,estimated_from_fig1_chart,exact_from_table1_text
14.0,70.0,45.822384,115.84,estimated_from_fig1_chart,exact_from_table1_text
14.0,80.0,45.723838,117.76,estimated_from_fig1_chart,exact_from_table1_text
14.0,90.0,45.641716,119.67,estimated_from_fig1_chart,exact_from_table1_text
14.0,100.0,45.559594,121.59,estimated_from_fig1_chart,exact_from_table1_text
14.0,110.0,45.461048,123.52,estimated_from_fig1_chart,exact_from_table1_text
14.0,120.0,45.378926,125.46,estimated_from_fig1_chart,exact_from_table1_text
16.0,30.0,45.789535,132.4,estimated_from_fig1_chart,exact_from_table1_text
16.0,40.0,45.707413,134.1,estimated_from_fig1_chart,exact_from_table1_text
16.0,50.0,45.592443,135.8,estimated_from_fig1_chart,exact_from_table1_text
16.0,60.0,45.510321,137.51,estimated_from_fig1_chart,exact_from_table1_text
16.0,70.0,45.411775,139.22,estimated_from_fig1_chart,exact_from_table1_text
16.0,80.0,45.313228,140.95,estimated_from_fig1_chart,exact_from_table1_text
16.0,90.0,45.231107,142.67,estimated_from_fig1_chart,exact_from_table1_text
16.0,100.0,45.13256,144.42,estimated_from_fig1_chart,exact_from_table1_text
16.0,110.0,45.034014,146.15,estimated_from_fig1_chart,exact_from_table1_text
16.0,120.0,44.935468,147.9,estimated_from_fig1_chart,exact_from_table1_text
18.0,30.0,45.477472,155.35,estimated_from_fig1_chart,exact_from_table1_text
18.0,40.0,45.378926,156.87,estimated_from_fig1_chart,exact_from_table1_text
18.0,50.0,45.263955,158.39,estimated_from_fig1_chart,exact_from_table1_text
18.0,60.0,45.181833,159.92,estimated_from_fig1_chart,exact_from_table1_text
18.0,70.0,45.066863,161.46,estimated_from_fig1_chart,exact_from_table1_text
