temp_c,pressure_bar,a_micro_per_bar_estimated,plot_x_px,plot_y_px
2.0,30.0,49.172955,50,50
4.0,30.0,48.565253,50,87
6.0,30.0,48.006825,50,121
8.0,30.0,47.431972,50,156
10.0,30.0,47.004938,50,182
12.0,30.0,46.643602,50,204
14.0,30.0,46.18372,50,232
16.0,30.0,45.789535,50,256
18.0,30.0,45.477472,50,275
20.0,30.0,45.165409,50,294
22.0,30.0,44.935468,50,308
24.0,30.0,44.721951,50,321
26.0,30.0,44.557707,50,331
28.0,30.0,44.360615,50,343
30.0,30.0,44.212796,50,352
2.0,31.0,49.172955,52,50
4.0,31.0,48.548829,52,88
6.0,31.0,48.006825,52,121
8.0,31.0,47.431972,52,156
10.0,31.0,46.988514,52,183
12.0,31.0,46.627178,52,205
14.0,31.0,46.167295,52,233
16.0,31.0,45.789535,52,256
18.0,31.0,45.461048,52,276
20.0,31.0,45.165409,52,294
22.0,31.0,44.919044,52,309
24.0,31.0,44.705527,52,322
26.0,31.0,44.541283,52,332
28.0,31.0,44.360615,52,343
30.0,31.0,44.179947,52,354
2.0,32.0,49.15653,54,51
4.0,32.0,48.548829,54,88
6.0,32.0,47.9904,54,122
8.0,32.0,47.415547,54,157
10.0,32.0,46.972089,54,184
12.0,32.0,46.610753,54,206
14.0,32.0,46.167295,54,233
16.0,32.0,45.773111,54,257
18.0,32.0,45.444623,54,277
20.0,32.0,45.148985,54,295
22.0,32.0,44.902619,54,310
24.0,32.0,44.689102,54,323
26.0,32.0,44.524859,54,333
28.0,32.0,44.344191,54,344
30.0,32.0,44.163523,54,355
2.0,33.0,49.15653,55,51
4.0,33.0,48.532404,55,89
6.0,33.0,47.9904,55,122
8.0,33.0,47.415547,55,157
10.0,33.0,46.972089,55,184
12.0,33.0,46.610753,55,206
14.0,33.0,46.150871,55,234
16.0,33.0,45.773111,55,257
18.0,33.0,45.444623,55,277
20.0,33.0,45.148985,55,295
22.0,33.0,44.902619,55,310
24.0,33.0,44.689102,55,323
26.0,33.0,44.524859,55,333
28.0,33.0,44.327766,55,345
30.0,33.0,44.163523,55,355
2.0,34.0,49.140106,57,52
4.0,34.0,48.532404,57,89
6.0,34.0,47.973976,57,123
8.0,34.0,47.399123,57,158
10.0,34.0,46.955665,57,185
12.0,34.0,46.610753,57,206
14.0,34.0,46.150871,57,234
16.0,34.0,45.756686,57,258
18.0,34.0,45.444623,57,277
20.0,34.0,45.13256,57,296
22.0,34.0,44.886195,57,311
24.0,34.0,44.672678,57,324
26.0,34.0,44.524859,57,333
28.0,34.0,44.311342,57,346
30.0,34.0,44.163523,57,355
2.0,35.0,49.123682,59,53
4.0,35.0,48.532404,59,89
6.0,35.0,47.973976,59,123
8.0,35.0,47.382699,59,159
10.0,35.0,46.955665,59,185
12.0,35.0,46.594329,59,207
14.0,35.0,46.134447,59,235
16.0,35.0,45.740262,59,259
18.0,35.0,45.428199,59,278
20.0,35.0,45.116136,59,297
22.0,35.0,44.86977,59,312
24.0,35.0,44.656254,59,325
26.0,35.0,44.508434,59,334
28.0,35.0,44.294918,59,347
30.0,35.0,44.147098,59,356
2.0,36.0,49.123682,60,53
4.0,36.0,48.51598,60,90
6.0,36.0,47.957552,60,124
8.0,36.0,47.382699,60,159
10.0,36.0,46.955665,60,185
12.0,36.0,46.594329,60,207
14.0,36.0,46.134447,60,235
16.0,36.0,45.740262,60,259
18.0,36.0,45.411775,60,279
20.0,36.0,45.099712,60,298
22.0,36.0,44.86977,60,312
24.0,36.0,44.656254,60,325
26.0,36.0,44.49201,60,335
28.0,36.0,44.294918,60,347
30.0,36.0,44.130674,60,357
2.0,37.0,49.107257,62,54
4.0,37.0,48.51598,62,90
6.0,37.0,47.941127,62,125
8.0,37.0,47.382699,62,159
10.0,37.0,46.939241,62,186
12.0,37.0,46.577905,62,208
14.0,37.0,46.118022,62,236
16.0,37.0,45.723838,62,260
18.0,37.0,45.411775,62,279
20.0,37.0,45.099712,62,298
22.0,37.0,44.853346,62,313
24.0,37.0,44.639829,62,326
26.0,37.0,44.475586,62,336
28.0,37.0,44.278493,62,348
30.0,37.0,44.11425,62,358
2.0,38.0,49.107257,64,54
4.0,38.0,48.499556,64,91
6.0,38.0,47.941127,64,125
8.0,38.0,47.366274,64,160
10.0,38.0,46.922816,64,187
12.0,38.0,46.56148,64,209
14.0,38.0,46.118022,64,236
16.0,38.0,45.723838,64,260
18.0,38.0,45.39535,64,280
20.0,38.0,45.083287,64,299
22.0,38.0,44.836922,64,314
24.0,38.0,44.623405,64,327
26.0,38.0,44.459161,64,337
28.0,38.0,44.278493,64,348
30.0,38.0,44.11425,64,358
2.0,39.0,49.107257,65,54
4.0,39.0,48.499556,65,91
6.0,39.0,47.924703,65,126
8.0,39.0,47.366274,65,160
10.0,39.0,46.922816,65,187
12.0,39.0,46.56148,65,209
14.0,39.0,46.101598,65,237
16.0,39.0,45.707413,65,261
18.0,39.0,45.378926,65,281
20.0,39.0,45.083287,65,299
22.0,39.0,44.836922,65,314
24.0,39.0,44.623405,65,327
26.0,39.0,44.459161,65,337
28.0,39.0,44.262069,65,349
30.0,39.0,44.097825,65,359
2.0,40.0,49.090833,67,55
4.0,40.0,48.483131,67,92
6.0,40.0,47.924703,67,126
8.0,40.0,47.34985,67,161
10.0,40.0,46.906392,67,188
12.0,40.0,46.545056,67,210
14.0,40.0,46.101598,67,237
16.0,40.0,45.707413,67,261
18.0,40.0,45.378926,67,281
20.0,40.0,45.066863,67,300
22.0,40.0,44.820497,67,315
24.0,40.0,44.606981,67,328
26.0,40.0,44.442737,67,338
28.0,40.0,44.262069,67,349
30.0,40.0,44.081401,67,360
2.0,41.0,49.074409,69,56
4.0,41.0,48.466707,69,93
6.0,41.0,47.908278,69,127
8.0,41.0,47.34985,69,161
10.0,41.0,46.906392,69,188
12.0,41.0,46.545056,69,210
14.0,41.0,46.085174,69,238
16.0,41.0,45.690989,69,262
18.0,41.0,45.362501,69,282
20.0,41.0,45.050438,69,301
22.0,41.0,44.804073,69,316
24.0,41.0,44.590556,69,329
26.0,41.0,44.426313,69,339
28.0,41.0,44.245644,69,350
30.0,41.0,44.064976,69,361
2.0,42.0,49.074409,70,56
4.0,42.0,48.466707,70,93
6.0,42.0,47.908278,70,127
8.0,42.0,47.333426,70,162
10.0,42.0,46.889968,70,189
12.0,42.0,46.528632,70,211
14.0,42.0,46.085174,70,238
16.0,42.0,45.690989,70,262
18.0,42.0,45.346077,70,283
20.0,42.0,45.050438,70,301
22.0,42.0,44.804073,70,316
24.0,42.0,44.590556,70,329
26.0,42.0,44.426313,70,339
28.0,42.0,44.22922,70,351
30.0,42.0,44.064976,70,361
2.0,43.0,49.057984,72,57
4.0,43.0,48.450283,72,94
6.0,43.0,47.908278,72,127
8.0,43.0,47.333426,72,162
10.0,43.0,46.889968,72,189
12.0,43.0,46.512207,72,212
14.0,43.0,46.068749,72,239
16.0,43.0,45.674564,72,263
18.0,43.0,45.346077,72,283
20.0,43.0,45.034014,72,302
22.0,43.0,44.787649,72,317
24.0,43.0,44.574132,72,330
26.0,43.0,44.409888,72,340
28.0,43.0,44.212796,72,352
30.0,43.0,44.048552,72,362
2.0,44.0,49.057984,74,57
4.0,44.0,48.433858,74,95
6.0,44.0,47.891854,74,128
8.0,44.0,47.317001,74,163
10.0,44.0,46.873543,74,190
12.0,44.0,46.512207,74,212
14.0,44.0,46.068749,74,239
16.0,44.0,45.65814,74,264
18.0,44.0,45.329653,74,284
20.0,44.0,45.01759,74,303
22.0,44.0,44.787649,74,317
24.0,44.0,44.557707,74,331
26.0,44.0,44.393464,74,341
28.0,44.0,44.196371,74,353
30.0,44.0,44.032128,74,363
2.0,45.0,49.04156,75,58
4.0,45.0,48.433858,75,95
6.0,45.0,47.891854,75,128
8.0,45.0,47.317001,75,163
10.0,45.0,46.873543,75,190
12.0,45.0,46.512207,75,212
14.0,45.0,46.052325,75,240
16.0,45.0,45.65814,75,264
18.0,45.0,45.329653,75,284
20.0,45.0,45.01759,75,303
22.0,45.0,44.771224,75,318
24.0,45.0,44.557707,75,331
26.0,45.0,44.393464,75,341
28.0,45.0,44.196371,75,353
30.0,45.0,44.032128,75,363
2.0,46.0,49.04156,77,58
4.0,46.0,48.417434,77,96
6.0,46.0,47.87543,77,129
8.0,46.0,47.300577,77,164
10.0,46.0,46.857119,77,191
12.0,46.0,46.495783,77,213
14.0,46.0,46.035901,77,241
16.0,46.0,45.641716,77,265
18.0,46.0,45.313228,77,285
20.0,46.0,45.001165,77,304
22.0,46.0,44.771224,77,318
24.0,46.0,44.541283,77,332
26.0,46.0,44.377039,77,342
28.0,46.0,44.179947,77,354
30.0,46.0,44.015703,77,364
2.0,47.0,49.025135,79,59
4.0,47.0,48.417434,79,96
6.0,47.0,47.859005,79,130
8.0,47.0,47.284152,79,165
10.0,47.0,46.857119,79,191
12.0,47.0,46.495783,79,213
14.0,47.0,46.035901,79,241
16.0,47.0,45.625291,79,266
18.0,47.0,45.313228,79,285
20.0,47.0,44.984741,79,305
22.0,47.0,44.7548,79,319
24.0,47.0,44.541283,79,332
26.0,47.0,44.360615,79,343
28.0,47.0,44.163523,79,355
30.0,47.0,43.999279,79,365
2.0,48.0,49.025135,80,59
4.0,48.0,48.417434,80,96
6.0,48.0,47.859005,80,130
8.0,48.0,47.284152,80,165
10.0,48.0,46.857119,80,191
