temp_c,pressure_bar,public_a_estimated,local_a,delta,delta_pct
2.0,30.0,49.172955,49.205,-0.032045,-0.065125
4.0,30.0,48.565253,48.576,-0.010747,-0.022124
6.0,30.0,48.006825,48.0,0.006825,0.014219
8.0,30.0,47.431972,47.472,-0.040028,-0.084319
10.0,30.0,47.004938,46.99,0.014938,0.03179
12.0,30.0,46.643602,46.552,0.091602,0.196774
14.0,30.0,46.18372,46.156,0.02772,0.060057
16.0,30.0,45.789535,45.798,-0.008465,-0.018483
18.0,30.0,45.477472,45.478,-0.000528,-0.001161
20.0,30.0,45.165409,45.193,-0.027591,-0.061051
22.0,30.0,44.935468,44.94,-0.004532,-0.010085
24.0,30.0,44.721951,44.719,0.002951,0.006599
2.0,31.0,49.172955,49.195,-0.022045,-0.044811
4.0,31.0,48.548829,48.5659,-0.017071,-0.03515
6.0,31.0,48.006825,47.9897,0.017125,0.035685
8.0,31.0,47.431972,47.4615,-0.029528,-0.062215
10.0,31.0,46.988514,46.9794,0.009114,0.0194
12.0,31.0,46.627178,46.5413,0.085878,0.18452
14.0,31.0,46.167295,46.1451,0.022195,0.048098
16.0,31.0,45.789535,45.787,0.002535,0.005537
18.0,31.0,45.461048,45.4669,-0.005852,-0.012871
20.0,31.0,45.165409,45.1817,-0.016291,-0.036057
22.0,31.0,44.919044,44.9286,-0.009556,-0.021269
24.0,31.0,44.705527,44.7074,-0.001873,-0.004189
2.0,32.0,49.15653,49.185,-0.02847,-0.057884
4.0,32.0,48.548829,48.5558,-0.006971,-0.014357
6.0,32.0,47.9904,47.9794,0.011,0.022927
8.0,32.0,47.415547,47.451,-0.035453,-0.074715
10.0,32.0,46.972089,46.9688,0.003289,0.007003
12.0,32.0,46.610753,46.5306,0.080153,0.172259
14.0,32.0,46.167295,46.1342,0.033095,0.071736
16.0,32.0,45.773111,45.776,-0.002889,-0.006311
18.0,32.0,45.444623,45.4558,-0.011177,-0.024589
20.0,32.0,45.148985,45.1704,-0.021415,-0.047409
22.0,32.0,44.902619,44.9172,-0.014581,-0.032462
24.0,32.0,44.689102,44.6958,-0.006698,-0.014986
2.0,33.0,49.15653,49.175,-0.01847,-0.03756
4.0,33.0,48.532404,48.5457,-0.013296,-0.027389
6.0,33.0,47.9904,47.9691,0.0213,0.044404
8.0,33.0,47.415547,47.4405,-0.024953,-0.052599
10.0,33.0,46.972089,46.9582,0.013889,0.029577
12.0,33.0,46.610753,46.5199,0.090853,0.195299
14.0,33.0,46.150871,46.1233,0.027571,0.059777
16.0,33.0,45.773111,45.765,0.008111,0.017723
18.0,33.0,45.444623,45.4447,-7.7e-05,-0.000169
20.0,33.0,45.148985,45.1591,-0.010115,-0.022399
22.0,33.0,44.902619,44.9058,-0.003181,-0.007084
24.0,33.0,44.689102,44.6842,0.004902,0.01097
2.0,34.0,49.140106,49.165,-0.024894,-0.050634
4.0,34.0,48.532404,48.5356,-0.003196,-0.006585
6.0,34.0,47.973976,47.9588,0.015176,0.031644
8.0,34.0,47.399123,47.43,-0.030877,-0.0651
10.0,34.0,46.955665,46.9476,0.008065,0.017179
12.0,34.0,46.610753,46.5092,0.101553,0.21835
14.0,34.0,46.150871,46.1124,0.038471,0.083429
16.0,34.0,45.756686,45.754,0.002686,0.005871
18.0,34.0,45.444623,45.4336,0.011023,0.024262
20.0,34.0,45.13256,45.1478,-0.01524,-0.033756
22.0,34.0,44.886195,44.8944,-0.008205,-0.018276
24.0,34.0,44.672678,44.6726,7.8e-05,0.000175
2.0,35.0,49.123682,49.155,-0.031318,-0.063713
4.0,35.0,48.532404,48.5255,0.006904,0.014228
6.0,35.0,47.973976,47.9485,0.025476,0.053132
8.0,35.0,47.382699,47.4195,-0.036801,-0.077607
10.0,35.0,46.955665,46.937,0.018665,0.039766
12.0,35.0,46.594329,46.4985,0.095829,0.206091
14.0,35.0,46.134447,46.1015,0.032947,0.071466
16.0,35.0,45.740262,45.743,-0.002738,-0.005986
18.0,35.0,45.428199,45.4225,0.005699,0.012547
20.0,35.0,45.116136,45.1365,-0.020364,-0.045116
22.0,35.0,44.86977,44.883,-0.01323,-0.029477
24.0,35.0,44.656254,44.661,-0.004746,-0.010627
2.0,36.0,49.123682,49.145,-0.021318,-0.043378
4.0,36.0,48.51598,48.5154,0.00058,0.001195
