temp_c,pressure_bar,public_b,local_b,delta,delta_pct
1,30,-88.74,-84.373,-4.36699999999999,5.1758263899588615
2,30,-70.4,-66.032,-4.368000000000009,6.614974557790177
3,30,-52.72,-48.334,-4.385999999999996,9.074357595067644
4,30,-35.63,-31.242,-4.388000000000002,14.04519557006594
5,30,-19.14,-14.723,-4.417,30.000679209400253
6,30,-3.16,1.254,-4.414,-351.993620414673
7,30,12.29,16.72,-4.43,-26.495215311004785
8,30,27.26,31.702,-4.442,-14.011734275440036
9,30,41.76,46.226,-4.466000000000001,-9.661229611041408
10,30,55.84,60.316,-4.475999999999999,-7.420916506399627
11,30,69.51,73.997,-4.486999999999995,-6.063759341594922
12,30,82.79,87.289,-4.498999999999995,-5.1541431337281844
13,30,95.7,100.213,-4.512999999999991,-4.503407741510574
14,30,108.26,112.788,-4.527999999999992,-4.014611483491144
15,30,120.49,125.052,-4.562000000000012,-3.6480823977225567
16,30,132.4,136.963,-4.562999999999988,-3.3315566977942863
17,30,144.02,148.596,-4.575999999999993,-3.0794906996150595
18,30,155.35,159.946,-4.596000000000004,-2.8734697960561713
19,30,166.42,171.029,-4.609000000000009,-2.694864613603546
20,30,177.23,181.856,-4.626000000000005,-2.5437708956537066
21,30,187.8,192.441,-4.640999999999991,-2.411648245436259
22,30,198.14,202.797,-4.657000000000011,-2.29638505500575
23,30,208.26,212.933,-4.673000000000002,-2.1945870297229653
24,30,218.18,222.862,-4.681999999999988,-2.1008516481051
25,30,227.88,232.592,-4.7120000000000175,-2.0258650340510496
1,40,-85.32,-80.954,-4.366,5.39318625392198
2,40,-67.12,-62.752,-4.368000000000002,6.960734319224889
3,40,-49.58,-45.188,-4.391999999999996,9.719394529521102
4,40,-32.62,-28.227,-4.392999999999997,15.563113331207697
5,40,-16.24,-11.836,-4.403999999999998,37.20851639067251
6,40,-0.41,4.018,-4.428,-110.20408163265307
7,40,14.93,19.363,-4.433,-22.894179620926508
8,40,29.78,34.227,-4.446999999999996,-12.992666608233256
9,40,44.18,48.637,-4.457000000000001,-9.163805333388163
10,40,58.14,62.616,-4.475999999999999,-7.148332694518972
11,40,71.7,76.189,-4.48899999999999,-5.891926656078949
12,40,84.87,89.376,-4.506,-5.041621911922664
13,40,97.68,102.198,-4.5179999999999865,-4.4208301532319485
14,40,110.14,114.674,-4.534000000000006,-3.9538169070582745
15,40,122.28,126.836,-4.555999999999997,-3.592040114793905
16,40,134.1,138.659,-4.5589999999999975,-3.2879221687737528
17,40,145.62,150.201,-4.580999999999989,-3.0499131164239848
18,40,156.87,161.463,-4.592999999999989,-2.8446145556567073
19,40,167.85,172.459,-4.609000000000009,-2.6725192654486043
20,40,178.58,183.203,-4.6229999999999905,-2.52343029317205
21,40,189.07,193.707,-4.6370000000000005,-2.3938215965349734
22,40,199.33,203.983,-4.652999999999992,-2.281072442311365
23,40,209.37,214.043,-4.673000000000002,-2.1832061781978394
24,40,219.21,223.896,-4.685999999999979,-2.0929360060027777
25,40,228.85,233.554,-4.704000000000008,-2.014095241357462
1,50,-81.9,-77.53,-4.3700000000000045,5.636527795691996
2,50,-63.84,-59.446,-4.3940000000000055,7.391582276351656
3,50,-46.43,-42.037,-4.393000000000001,10.450317577372317
4,50,-29.6,-25.207,-4.393000000000001,17.427698655135483
5,50,-13.36,-8.942,-4.417999999999999,49.40729143368373
6,50,2.36,6.787,-4.427,-65.22764107853249
7,50,17.57,22.012,-4.442,-20.179901871706342
8,50,32.31,36.759,-4.448999999999998,-12.103158410185255
9,50,46.6,51.054,-4.454000000000001,-8.724096055157284
10,50,60.45,64.923,-4.472999999999999,-6.8897001062797445
11,50,73.9,78.388,-4.4879999999999995,-5.725366127468489
12,50,86.96,91.47,-4.510000000000005,-4.930578331693456
13,50,99.68,104.19,-4.509999999999991,-4.32863038679335
14,50,112.04,116.567,-4.526999999999987,-3.8836034212083925
15,50,124.07,128.619,-4.549000000000007,-3.5368024941882665
16,50,135.8,140.363,-4.562999999999988,-3.2508567072519026
17,50,147.24,151.813,-4.572999999999979,-3.0122585022362904
18,50,158.39,162.987,-4.597000000000008,-2.8204703442605905
19,50,169.85,173.897,-4.046999999999997,-2.3272396878612036
20,50,179.93,184.557,-4.626999999999981,-2.5070845321499493
21,50,190.34,194.98,-4.639999999999986,-2.379731254487633
22,50,200.52,205.177,-4.656999999999982,-2.269747583793497
23,50,210.49,215.159,-4.668999999999983,-2.1700230991964
24,50,220.25,224.938,-4.687999999999988,-2.0841298491139733
25,50,229.82,234.529,-4.709000000000003,-2.007854039372531
1,60,-78.47,-74.101,-4.369,5.896006801527644
2,60,-60.55,-56.175,-4.375,7.788161993769471
3,60,-43.27,-38.88,-4.390000000000001,11.291152263374487
4,60,-26.58,-22.18,-4.399999999999999,19.83769161406672
5,60,-10.46,-6.043,-4.417000000000001,73.09283468475924
6,60,5.15,9.563,-4.413,-46.14660671337447
7,60,20.23,24.607,-4.376999999999999,-17.787621408542282
